# Constellation Lines data file for KStars.
# Copyright 2004 by Jason Harris and Clemens (?)
# This file is licensed under the terms of the 
# GNU General Public License (GPL), Version 2:
# http://www.gnu.org/licenses/gpl.html
#
#
# C Western
# Andromeda
D 162003
D 155763
D 148387
D 144284
D 137759
D 123299
D 109387
D 100029
# 
# Equuleus
M 202447
D 201601
D 202275
D 203562
# 
# Eridanus
M 33328
D 33111
D 31109
D 30211
D 29248
D 26574
D 25025
D 23614
D 23249
D 22049
D 18322
D 17081
D 17206
D 18978
D 20720
D 22203
D 23754
D 24587
D 25267
D 29085
D 29291
D 28028
D 27376
D 24160
D 24072
D 22663
D 20794
D 18623
D 16815
D 16754
D 15371
D 14228
D 11937
D 10144
# 
# Fornax
M 20010
D 17652
D 12767
# 
# Gemini
M 42995
D 44478
D 48329
D 54719
D 58946
D 60178
D 62044
D 62509
D 62345
D 56986
D 52973
D 47105
D 48737
M 56986
D 56537
# 
# Grus
M 217364
D 215789
D 214952
D 213009
D 213080
D 209688
D 207971
M 218227
D 218670
D 214952
D 209952
# 
# Hercules
M 147547
D 148856
D 150680
D 150997
D 156283
D 153808
D 150680
M 153808
D 156164
D 161797
D 163993
D 166014
M 156283
D 157778
D 163770
M 156283
D 160762
M 150997
D 149630
D 147394
D 145389
D 142373
# 
# Horologium
M 26967
D 17051
D 16555
D 16920
D 19319
D 18866
# 
# Hydra
M 123123
D 115659
D 103192
D 100407
D 93813
D 90432
D 88284
D 87504
D 85444
D 81797
D 83618
D 79469
D 76294
D 74280
D 73471
D 73262
D 74874
D 76294
# 
# Hydrus
M 2151
D 24512
D 16978
D 15008
D 12311
# 
# Indus
M 196171
D 202730
D 208450
M 202730
D 198700
# 
# Lacerta
M 212496
D 213558
D 212593
D 213310
D 212120
D 213420
D 211388
# 
# Leo
M 97633
D 102647
D 97603
D 97633
D 87901
D 87737
D 89484
D 89025
D 85503
D 84441
# 
# LeoMinor
M 87696
D 90537
D 94264
# 
# Lepus
M 33904
D 36673
D 39364
D 38393
D 36079
D 36673
M 36079
D 32887
# 
# Libra
M 139365
D 139063
D 133216
D 130841
D 135742
D 138905
D 133216
# 
# Lupus
M 144294
D 143118
D 138690
