11241	8704	Per
11291	8714	Per
11733	8751	Hyi
11443	8796	Tri
11428	8814	And
11502	8832B	Ari
11503	8832A	Ari
11559	8833	Psc
11695	8837	Phe
11753	8882	Phe
11415	8886	Cas
11636	8903	Ari
11977	8928	Hyi
12363	8991	Hyi
11763	8993	Ari
11727	9001	And
11937	9007	Eri
11529	9009	Cas
11749	9021	And
11930	9061	Cet
11909	9110	Ari
11973	9153	Ari
12020	9165B	Cet
12020	9165A	Cet
11949	9222	Per
12311	9236	Hyi
12255	9326	Cet
12274	9347	Cet
12235	9353	Psc
12438	9440	For
12524	9459	Phe
12111	9480B	Cas
12111	9480A	Cas
12446	9487B	Psc
12447	9487A	Psc
12303	9505	Per
12279	9564	Cas
12471	9570	Tri
12301	9573	Cas
12573	9589	Cet
12216	9598	Cas
12558	9621B	Ari
12558	9621A	Ari
12641	9631	Cet
12533	9640A	And
12534	9640B	And
12534	9640C	And
12767	9677	For
12230	9727	Cas
12339	9763	Cas
12441	9802	Cas
12869	9836	Ari
12885	9859	Ari
12929	9884	Ari
13041	9977	And
12800	10031	Cas
13228	10033	Cet
13174	10053	Ari
13161	10064	Tri
13325	10155	Ari
13294	10176	And
13295	10180	And
13363	10203	Ari
13421	10212	Cet
13372	10220	Tri
13267	10227	Per
13468	10234	Cet
13480	10280A	Tri
-	10280B	Tri
13612	10303	Cet
13612	10305	Cet
13555	10306	Ari
13709	10320	For
13611	10324	Cet
13596	10328	Ari
13520	10340	And
13530	10366	Per
14141	10418	Hyi
13474	10438	Cas
14287	10513	Hyi
13872	10535A	Ari
13872	10535B	Ari
13871	10540	Ari
13869	10559	Tri
14228	10602	Eri
14129	10642	Cet
13974	10644	Tri
14055	10670	Tri
13982	10718	Per
13994	10729	Per
14191	10732	Ari
14252	10793	Tri
14305	10810	Ari
14212	10819	And
14386	10826	Cet
14392	10944	And
15008	11001	Hyi
14652	11021	Cet
14690	11046	Cet
14489	11060	Per
14802	11072	For
15248	11095	Hyi
14770	11220	And
14951	11249	Ari
15233	11258	Hor
15004	11261	Cet
14818	11279	Per
14872	11313	And
15130	11345	Cet
15371	11407	Eri
15176	11432	Tri
15138	11465	And
15427	11477	For
15318	11484	Cet
15257	11486	Tri
15335	11548	Tri
15089	11569A	Cas
15089	11569B	Cas
15550	11678	Ari
15596	11698	Ari
16522	11757	Hyi
8890	11767	UMi
15798	11783	Cet
15656	11784	Tri
15779	11791	Cet
15814	11843	Ari
15975	11867	For
16046	11918B	For
16046	11918A	For
16074	12002	Cet
16141	12048	Cet
16058	12086	Tri
16070	12091	Tri
16161	12093	Cet
16212	12107	Cet
16307	12122	For
16234	12153	Ari
16232	12184	Ari
16417	12186	For
16246	12189	Ari
16555	12225	Hor
16400	12247	Cet
16538	12288	For
16432	12332	Ari
16582	12387	Cet
16620	12390B	Cet
16620	12390A	Cet
16978	12394	Hyi
16754	12413	Eri
16920	12484	Hor
16815	12486	Eri
16628	12489	Ari
16765	12530B	Cet
16765	12530A	Cet
16739	12623	Per
16811	12640	Ari
17051	12653	Hor
16727	12692	Per
16970	12706A	Cet
16908	12719	Ari
16901	12768	Per
17081	12770	Cet
16895	12777	Per
17017	12784	Ari
17036	12803	Ari
17094	12828	Cet
17093	12832	Ari
17206	12843	Eri
17504	12871	Hor
17566	12876	Hyi
17528	13040	For
17361	13061	Ari
17459	13108	Ari
17848	13141	Hor
17652	13147	For
17543	13165A	Ari
17543	13165B	Ari
17713	13197	For
17729	13202	For
17573	13209	Ari
17793	13225	For
18293	13244	Hyi
17584	13254	Per
17829	13265	For
17506	13268	Per
17824	13288	Eri
17769	13327	Ari
17709	13328	Per
18149	13473	For
17904	13490A	Per
17904	13490B	Per
17878	13531	Per
18091	13579	Ari
18191	13654	Ari
18322	13701	Eri
18256	13702	Ari
18296	13775	Per
18454	13782	Eri
18404	13834	Ari
18535	13835	Eri
18622	13847A	Eri
18623	13847B	Eri
18411	13879	Per
18866	13884	Hor
18449	13905	Per
18519	13914B	Ari
18520	13914A	Ari
18692	13942	For
18633	13951	Eri
18604	13954	Cet
18654	14021A	Ari
18654	14021B	Ari
18760	14040	Eri
18784	14060	Eri
18907	14086	For
18769	14109	Ari
19400	14131	Hyi
18884	14135	Cet
18883	14143	Cet
18978	14146	Eri
18803	14150	Ari
18953	14168	Eri
19319	14240	Hor
19107	14293	Eri
18925	14328	Per
19058	14354	Per
19134	14376A	Ari
19135	14376B	Ari
19374	14514	Ari
19356	14576	Per
19460	14586	Ari
19373	14632	Per
19476	14668	Per
19548	14677	Ari
19656	14817	Per
19787	14838	Ari
