00.0000000 -82.500000 559:560
00.0000000 -82.000000 559:560
00.0000000 -81.000000 559:560
00.0000000 -80.000000 559:560
00.0000000 -79.000000 559:560
00.0000000 -78.000000 559:560
00.0000000 -77.000000 559:560
00.0000000 -76.000000 559:560
00.0000000 -75.000000 559:560
00.0000000 +10.000000 673:672
00.0000000 +11.000000 673:672
00.0000000 +12.000000 673:672
00.0000000 +12.500000 673:672
00.0000000 +28.000000 032:033
00.0000000 +29.000000 032:033
00.0000000 +30.000000 032:033
00.0000000 +31.000000 032:033
00.0000000 +31.333333 032:033
00.0666667 +22.000000 030:031
00.0666667 +23.000000 030:031
00.0666667 +24.000000 030:031
00.0666667 +25.000000 030:031
00.0666667 +26.000000 030:031
00.0666667 +27.000000 030:031
00.0666667 +28.000000 030:031
00.1416667 +12.500000 671:029
00.1416667 +13.000000 671:029
00.1416667 +14.000000 671:029
00.1416667 +15.000000 671:029
00.1416667 +16.000000 671:029
00.1416667 +17.000000 671:029
00.1416667 +18.000000 671:029
00.1416667 +19.000000 671:029
00.1416667 +20.000000 671:029
00.1416667 +21.000000 671:029
00.1416667 +22.000000 671:029
00.1666667 +46.000000 008:007
00.1666667 +47.000000 008:007
00.1666667 +48.000000 008:007
00.3333333 -07.000000 341:333
00.3333333 -06.000000 341:333
00.3333333 -05.000000 341:333
00.3333333 -04.000000 341:333
00.3333333 -03.000000 341:333
00.3333333 -02.000000 341:333
00.3333333 -01.000000 341:333
00.3333333 +00.000000 341:333
00.3333333 +01.000000 341:333
00.3333333 +02.000000 341:333
00.3333333 +66.000000 284:285
00.3333333 +67.000000 284:285
00.3333333 +68.000000 284:285
00.3333333 +69.000000 284:285
00.3333333 +70.000000 284:285
00.3333333 +71.000000 284:285
00.3333333 +72.000000 284:285
00.3333333 +73.000000 284:285
00.3333333 +74.000000 284:285
00.3333333 +75.000000 284:285
00.3333333 +76.000000 284:285
00.3333333 +77.000000 284:285
00.7166667 +23.750000 025:024
00.7166667 +24.000000 025:024
00.7166667 +25.000000 025:024
00.7166667 +26.000000 025:024
00.7166667 +27.000000 025:024
00.7166667 +28.000000 025:024
00.7166667 +29.000000 025:024
00.7166667 +30.000000 025:024
00.7166667 +31.000000 025:024
00.7166667 +32.000000 025:024
00.7166667 +33.000000 025:024
00.7500000 -76.000000 562:561
00.7500000 -75.000000 562:561
00.8500000 +21.000000 027:026
00.8500000 +22.000000 027:026
00.8500000 +23.000000 027:026
00.8500000 +23.750000 027:026
00.8666667 +46.000000 009:010
00.8666667 +47.000000 009:010
00.8666667 +48.000000 009:010
01.1166667 +48.000000 011:012
01.1166667 +49.000000 011:012
